"","Subject","Matching","Identity","RT_ms","RT_sec","ACC","Face_Gender"
"1",2001,"Matching","Friend",427,0.427,1,"F"
"2",2001,"Matching","Friend",518,0.518,1,"F"
"3",2001,"Matching","Friend",373,0.373,1,"F"
"4",2001,"Matching","Friend",443,0.443,1,"F"
"5",2001,"Matching","Friend",373,0.373,1,"F"
"6",2001,"Matching","Friend",385,0.385,1,"F"
"7",2001,"Matching","Friend",371,0.371,1,"F"
"8",2001,"Matching","Friend",350,0.35,1,"F"
"9",2001,"Matching","Friend",404,0.404,1,"F"
"10",2001,"Matching","Friend",336,0.336,1,"F"
"11",2001,"Matching","Friend",377,0.377,1,"F"
"12",2001,"Matching","Friend",454,0.454,1,"F"
"13",2001,"Matching","Friend",349,0.349,1,"F"
"14",2001,"Matching","Friend",360,0.36,1,"F"
"15",2001,"Matching","Friend",358,0.358,1,"F"
"16",2001,"Matching","Friend",428,0.428,1,"F"
"17",2001,"Matching","Friend",787,0.787,1,"F"
"18",2001,"Matching","Friend",388,0.388,1,"F"
"19",2001,"Matching","Friend",520,0.52,1,"F"
"20",2001,"Matching","Friend",347,0.347,1,"F"
"21",2001,"Matching","Friend",358,0.358,1,"F"
"22",2001,"Matching","Friend",401,0.401,1,"F"
"23",2001,"Matching","Friend",527,0.527,1,"F"
"24",2001,"Matching","Friend",549,0.549,1,"F"
"25",2001,"Matching","Friend",338,0.338,1,"F"
"26",2001,"Matching","Friend",323,0.323,1,"F"
"27",2001,"Matching","Friend",387,0.387,1,"F"
"28",2001,"Matching","Friend",484,0.484,1,"F"
"29",2001,"Matching","Friend",433,0.433,1,"F"
"30",2001,"Matching","Friend",678,0.678,1,"F"
"31",2001,"Matching","Friend",406,0.406,1,"F"
"32",2001,"Matching","Friend",583,0.583,1,"F"
"33",2001,"Matching","Friend",459,0.459,1,"F"
"34",2001,"Matching","Friend",584,0.584,1,"F"
"35",2001,"Matching","Friend",518,0.518,1,"F"
"36",2001,"Matching","Friend",403,0.403,1,"F"
"37",2001,"Matching","Friend",359,0.359,1,"F"
"38",2001,"Matching","Friend",339,0.339,1,"F"
"39",2001,"Matching","Friend",406,0.406,1,"F"
"40",2001,"Matching","Friend",945,0.945,1,"F"
"41",2001,"Matching","Friend",620,0.62,1,"F"
"42",2001,"Matching","Friend",394,0.394,1,"F"
"43",2001,"Matching","Friend",585,0.585,1,"F"
"44",2001,"Matching","Friend",403,0.403,1,"F"
"45",2001,"Matching","Friend",695,0.695,1,"F"
"46",2001,"Matching","Friend",365,0.365,1,"F"
"47",2001,"Matching","Friend",412,0.412,1,"F"
"48",2001,"Matching","Friend",434,0.434,1,"F"
"49",2001,"Matching","Friend",475,0.475,1,"F"
"50",2001,"Matching","Friend",408,0.408,1,"F"
"51",2001,"Matching","Friend",347,0.347,1,"F"
"52",2001,"Matching","Friend",314,0.314,1,"F"
"53",2001,"Matching","Friend",483,0.483,1,"F"
"54",2001,"Matching","Friend",587,0.587,1,"F"
"55",2001,"Matching","Friend",362,0.362,1,"F"
"56",2001,"Matching","Friend",443,0.443,1,"F"
"57",2001,"Matching","Friend",576,0.576,1,"M"
"58",2001,"Matching","Friend",526,0.526,1,"M"
"59",2001,"Matching","Friend",649,0.649,1,"M"
"60",2001,"Matching","Friend",539,0.539,1,"M"
"61",2001,"Matching","Friend",566,0.566,1,"M"
"62",2001,"Matching","Friend",602,0.602,1,"M"
"63",2001,"Matching","Friend",472,0.472,1,"M"
"64",2001,"Matching","Friend",511,0.511,1,"M"
"65",2001,"Matching","Friend",607,0.607,1,"M"
"66",2001,"Matching","Friend",604,0.604,1,"M"
"67",2001,"Matching","Friend",531,0.531,1,"M"
"68",2001,"Matching","Friend",681,0.681,1,"M"
"69",2001,"Matching","Friend",364,0.364,1,"M"
"70",2001,"Matching","Friend",579,0.579,1,"M"
"71",2001,"Matching","Friend",470,0.47,1,"M"
"72",2001,"Matching","Friend",550,0.55,1,"M"
"73",2001,"Matching","Friend",533,0.533,1,"M"
"74",2001,"Matching","Friend",675,0.675,1,"M"
"75",2001,"Matching","Friend",828,0.828,1,"M"
"76",2001,"Matching","Friend",530,0.53,1,"M"
"77",2001,"Matching","Friend",585,0.585,1,"M"
"78",2001,"Matching","Friend",735,0.735,1,"M"
"79",2001,"Matching","Friend",614,0.614,1,"M"
"80",2001,"Matching","Friend",533,0.533,1,"M"
"81",2001,"Matching","Friend",481,0.481,1,"M"
"82",2001,"Matching","Friend",440,0.44,1,"M"
"83",2001,"Matching","Friend",507,0.507,1,"M"
"84",2001,"Matching","Friend",350,0.35,1,"M"
"85",2001,"Matching","Friend",320,0.32,1,"M"
"86",2001,"Matching","Friend",351,0.351,1,"M"
"87",2001,"Matching","Friend",409,0.409,1,"M"
"88",2001,"Matching","Friend",465,0.465,1,"M"
"89",2001,"Matching","Friend",456,0.456,1,"M"
"90",2001,"Matching","Friend",539,0.539,1,"M"
"91",2001,"Matching","Friend",479,0.479,1,"M"
"92",2001,"Matching","Friend",394,0.394,1,"M"
"93",2001,"Matching","Friend",540,0.54,1,"M"
"94",2001,"Matching","Friend",410,0.41,1,"M"
"95",2001,"Matching","Friend",370,0.37,1,"M"
"96",2001,"Matching","Friend",343,0.343,1,"M"
"97",2001,"Matching","Friend",527,0.527,1,"M"
"98",2001,"Matching","Friend",484,0.484,1,"M"
"99",2001,"Matching","Friend",582,0.582,1,"M"
"100",2001,"Matching","Friend",352,0.352,1,"M"
"101",2001,"Matching","Friend",468,0.468,1,"M"
"102",2001,"Matching","Friend",536,0.536,1,"M"
"103",2001,"Matching","Friend",422,0.422,1,"M"
"104",2001,"Matching","Friend",372,0.372,1,"M"
"105",2001,"Matching","Friend",676,0.676,1,"M"
"106",2001,"Matching","Friend",431,0.431,1,"M"
"107",2001,"Matching","Friend",387,0.387,1,"M"
"108",2001,"Matching","Friend",367,0.367,1,"M"
"109",2001,"Matching","Friend",323,0.323,1,"M"
"110",2001,"Matching","Friend",341,0.341,1,"M"
"111",2001,"Matching","Friend",382,0.382,1,"M"
"112",2001,"Matching","Friend",485,0.485,1,"M"
"113",2001,"Matching","Stranger",720,0.72,1,"F"
"114",2001,"Matching","Stranger",528,0.528,1,"F"
"115",2001,"Matching","Stranger",506,0.506,1,"F"
"116",2001,"Matching","Stranger",650,0.65,1,"F"
"117",2001,"Matching","Stranger",476,0.476,1,"F"
"118",2001,"Matching","Stranger",739,0.739,1,"F"
"119",2001,"Matching","Stranger",548,0.548,1,"F"
"120",2001,"Matching","Stranger",652,0.652,1,"F"
"121",2001,"Matching","Stranger",492,0.492,1,"F"
"122",2001,"Matching","Stranger",416,0.416,1,"F"
"123",2001,"Matching","Stranger",761,0.761,1,"F"
"124",2001,"Matching","Stranger",631,0.631,1,"F"
"125",2001,"Matching","Stranger",353,0.353,1,"F"
"126",2001,"Matching","Stranger",423,0.423,1,"F"
"127",2001,"Matching","Stranger",459,0.459,1,"F"
"128",2001,"Matching","Stranger",579,0.579,1,"F"
"129",2001,"Matching","Stranger",517,0.517,1,"F"
"130",2001,"Matching","Stranger",407,0.407,1,"F"
"131",2001,"Matching","Stranger",451,0.451,1,"F"
"132",2001,"Matching","Stranger",603,0.603,1,"F"
"133",2001,"Matching","Stranger",600,0.6,1,"F"
"134",2001,"Matching","Stranger",342,0.342,1,"F"
"135",2001,"Matching","Stranger",309,0.309,1,"F"
"136",2001,"Matching","Stranger",495,0.495,1,"F"
"137",2001,"Matching","Stranger",489,0.489,1,"F"
"138",2001,"Matching","Stranger",556,0.556,1,"F"
"139",2001,"Matching","Stranger",420,0.42,1,"F"
"140",2001,"Matching","Stranger",447,0.447,1,"F"
"141",2001,"Matching","Stranger",381,0.381,1,"F"
"142",2001,"Matching","Stranger",358,0.358,1,"F"
"143",2001,"Matching","Stranger",605,0.605,1,"F"
"144",2001,"Matching","Stranger",318,0.318,1,"F"
"145",2001,"Matching","Stranger",497,0.497,1,"F"
"146",2001,"Matching","Stranger",399,0.399,1,"F"
"147",2001,"Matching","Stranger",367,0.367,1,"F"
"148",2001,"Matching","Stranger",348,0.348,1,"F"
"149",2001,"Matching","Stranger",585,0.585,1,"F"
"150",2001,"Matching","Stranger",374,0.374,1,"F"
"151",2001,"Matching","Stranger",482,0.482,1,"F"
"152",2001,"Matching","Stranger",481,0.481,1,"F"
"153",2001,"Matching","Stranger",474,0.474,1,"F"
